0   0.74779301	0	1	0
1	0.64779301	0	1	0
2	0.467632318	0	0	1
3	0.490291353	1	0	0
4	0.652037804	0	1	0
5	0.535594558	0	1	0
6	0.407295886	0	0	1
7	0.685317611	0	1	1
8	0.4634185	0	0	0
9	0.879716639	0	1	0
10	0.504718881	0	1	0
11	0.292823931	0	0	0
12	0.467401217	0	0	0
13	0.485182388	0	0	1
14	0.619228707	0	1	0
15	0.623704615	0	1	0
16	0.767430679	0	1	0
17	0.901118012	0	1	0
18	0.890158295	0	1	0
19	0.394589399	0	0	1
20	0.43350464	0	0	0
21	0.530982658	0	1	1
22	0.552350028	0	1	0
23	0.730437711	0	1	0
24	0.615814239	0	1	0
25	0.671582287	0	1	0
26	0.556637112	0	1	0
27	0.601756794	0	1	0
28	0.465574718	0	0	1
29	0.786747794	0	1	0
30	0.861468286	0	1	0
31	0.793793769	0	1	0
32	0.737397921	0	1	0
33	0.613369031	0	1	0
34	0.189764724	0	0	1
35	0.482750869	0	0	1
36	0.921715671	0	1	0
37	0.603101099	0	1	0
38	0.704202214	0	1	0
39	0.665848052	0	1	1
40	0.739406917	0	1	0
41	0.531332181	0	1	0
42	0.807289054	0	1	0
43	0.739479114	0	1	0
44	0.456654942	0	0	0
45	0.172689068	0	0	1
46	0.583560205	0	1	1
47	0.45765014	0	0	1
48	0.543477377	0	1	1
49	0.602388622	0	1	0
50	0.758038832	0	1	0
51	0.546355152	0	1	0
52	0.614239313	0	1	0
53	0.756890924	0	1	1
54	0.318539966	0	0	0
55	0.186734142	0	0	0
56	0.807453125	0	1	0
57	0.452421064	0	0	1
58	0.123462338	0	0	1
59	0.900661479	0	1	0
60	0.791498715	0	1	0
61	0.814445344	0	1	0
62	0.588097799	0	1	1
63	0.579231661	0	1	1
64	0.340440912	0	0	0
65	0.702866772	0	1	0
66	0.930516327	0	1	0
67	0.27485096	0	0	1
68	0.789237722	0	1	0
69	0.433274475	0	0	0
70	0.917108999	0	1	0
71	0.844247797	0	1	0
72	0.316252248	0	0	1
73	0.738699628	0	1	0
74	0.511033981	0	1	1
75	0.867732354	0	1	0
76	0.64391213	0	1	0
77	0.920173742	0	1	0
78	0.498548387	0	0	1
79	0.22215449	0	0	1
80	0.678097559	0	1	1
81	0.692505045	0	1	1
82	0.53264316	0	1	1
83	0.82846639	0	1	0
84	0.557953668	0	1	0
85	0.625428905	0	1	0
86	0.738966613	0	1	0
87	0.809685136	0	1	0
88	0.827951189	0	1	1
89	0.734907024	0	1	1
90	0.558845628	0	1	1
91	0.272491178	0	0	0
92	0.620423072	0	1	0
93	0.487176343	0	0	0
94	0.421806551	0	0	1
95	0.343311105	0	0	0
